대여소 그룹,팀명,대여소 명,대여 건수
종로구,세종로1팀,449. 일성아파트,608
마포구,상암1팀,494.신수동주민센터,608
마포구,상암1팀,3006. 상암월드컵파크5단지(상암중학교),609
송파구,천호2팀,1258. 가락미륭아파트 앞,614
강남구,학여울1팀,2305. MCM 본사 직영점 앞,615
중구,세종로2팀,4784. 중부경찰서앞 사거리,616
강북구,도봉4팀,1571.북서울 꿈의 숲 입구,617
금천구,천왕3팀,3958. 롯데캐슬2차 마을버스 정류장(18804) 뒤편,620
강북구,도봉4팀,1511. 번동 금호어울림아파트102동앞,621
서대문구,상암2팀,164. 북가좌1동 주민센터,621
은평구,상암3팀,928. 은평역사한옥박물관,622
강동구,천호1팀,1058. 고덕숲 아이파크 1,623
구로구,천왕1팀,1992. 구로구배드민턴실내체육관 앞,625
송파구,천호2팀,2649.오금공원사거리2,626
서초구,이수3팀,2514.사평역 2번출구,628
강동구,천호1팀,1079.강일동입구교차로,628
금천구,천왕3팀,1819. 금천구청 앞 자전거거치대,628
중랑구,중랑3팀,1477.면목삼익아파트 앞,628
관악구,이수2팀,2159. 인헌초교,631
송파구,학여울2팀,2650.위례22단지 2208동 다리앞,632
노원구,도봉1팀,4035. 수락 행복발전소 앞,632
구로구,천왕1팀,2818.천왕이펜하우스3단지 앞,634
강남구,학여울1팀,2416.한티역 6번 출구,634
성동구,중랑2팀,3547.상왕십리역 6번 출입구,634
